Year of arrival at port of disembarkation,Total embarked,Total disembarked
1787,736,674
1788,579,529
1789,496,453
1786,68,63
1784,450,361
1786,526,512
1799,273,236
1783,310,266
1806,268,200
1784,164,150
1788,356,326
1790,359,328
1791,171,166
1793,180,164
1794,330,328
1795,330,322
1796,330,326
1780,600,610
1782,700,700
1781,349,320
1782,359,328
1793,462,443
1784,597,480
1786,443,406
1796,495,492
1797,495,492
1799,437,400
1801,380,342
1790,130,120
1791,190,175
1793,10,9
1794,208,192
1801,122,104
1802,61,53
1800,473,433
1801,317,285
1802,316,284
1805,306,275
1807,395,355
1783,119,93
1805,88,81
1806,273,250
1807,155,142
1801,178,160
1788,338,310
1789,277,254
1790,357,327
1791,325,301
1792,344,341
1793,343,340
1795,341,331
1796,343,336
1784,75,70
1785,31,29
1785,113,105
1782,429,321
1800,316,289
1802,315,283
1805,20,19
1799,359,328
1800,,
1803,176,158
1804,234,210
1805,,
1794,,
1792,140,133
1783,450,420
1784,328,300
1797,350,347
1799,374,343
1801,248,223
1801,310,279
1802,395,355
1804,357,349
1797,119,93
1803,305,274
1804,304,273
1806,400,360
1808,310,279
1803,307,276
1805,309,278
1806,304,273
1807,310,279
1800,328,300
1802,324,291
1803,326,293
1799,366,358
1801,310,279
1802,251,226
1804,286,257
1803,184,165
1794,359,328
1795,359,328
1799,,
1798,81,73
1793,349,344
1794,350,344
1796,371,340
1784,195,181
1785,197,194
1796,274,271
1797,,
1791,251,230
1792,234,214
1802,308,254
1803,310,279
1786,,
1785,295,270
1786,213,195
1782,205,190
1783,,
1788,164,150
1790,302,277
1791,273,250
1793,316,283
1794,342,342
1795,120,
1799,448,410
1801,310,279
1802,305,274
1803,297,267
1804,273,245
1806,310,279
1807,211,190
1801,372,334
1802,357,321
1803,336,302
1805,369,332
1805,,
1783,119,93
1785,70,71
1786,119,93
1801,310,279
1798,200,
1785,221,205
1786,190,174
1787,113,102
1788,158,142
1789,142,122
1790,147,126
1791,211,207
1792,205,198
1793,239,225
1799,217,201
1783,210,195
1783,210,195
1784,234,217
1785,269,250
1788,130,88
1791,85,83
1793,128,119
1794,,
1798,357,327
1800,416,381
1799,393,360
1806,303,272
1808,295,265
1807,346,311
1787,,
1785,275,252
1792,332,304
1795,468,460
1798,463,424
1798,437,413
1799,568,520
1802,367,330
1803,356,320
1805,367,330
1799,,
1790,214,196
1792,155,126
1794,227,226
1795,359,328
1797,211,193
1799,45,3
1801,180,162
1802,219,197
1781,,
1794,425,367
1796,457,419
1796,425,418
1798,425,415
1799,,
1799,,
1785,192,176
1790,170,154
1802,348,313
1803,344,309
1805,278,250
1805,,
1797,140,138
1798,117,109
1799,,
1808,190,174
1793,58,55
1786,250,229
1787,192,162
1789,300,115
1799,317,290
1800,322,295
1802,381,314
1803,350,315
1804,341,307
1806,291,262
1807,227,204
1805,,
1793,210,195
1794,,
1797,359,328
1801,426,383
1802,423,380
1804,433,389
1806,437,360
1807,423,380
1799,286,262
1801,310,279
1802,232,209
1804,226,203
1805,209,188
1798,166,142
1784,164,150
1786,484,390
1788,328,300
1789,537,492
1791,265,191
1805,225,206
1807,273,250
1780,210,195
1782,221,205
1784,302,280
1785,210,195
1787,320,195
1786,118,92
1788,109,8
1790,150,139
1791,150,119
1792,101,94
1796,424,423
1798,469,430
1799,427,391
1806,284,255
1799,210,195
1787,121,112
1793,114,99
1806,182,155
1794,,
1794,,
1801,300,270
1802,293,263
1804,408,367
1805,412,370
1807,310,279
1781,359,328
1803,340,306
1799,481,441
1800,322,295
1801,310,279
1802,310,279
1803,334,300
1804,344,309
1806,310,279
1806,310,279
1807,314,282
1797,364,362
1798,396,363
1799,379,347
1801,270,222
1804,169,147
1805,181,158
1806,259,226
1808,183,160
1790,576,528
1791,485,444
1792,501,459
1794,549,539
1794,356,326
1785,524,480
1786,764,700
1787,798,731
1788,771,706
1802,386,372
1784,119,93
1792,210,195
1794,,
1802,176,161
1803,273,250
1805,187,171
1802,169,152
1803,273,250
1803,,
1797,388,355
1795,521,518
1803,289,260
1805,276,248
1783,416,381
1784,251,242
1786,383,290
1806,310,279
1807,310,279
1790,180,179
1791,190,170
1792,206,169
1794,183,181
1795,210,195
1781,210,195
1784,73,68
1797,162,150
1797,175,162
1799,172,160
1800,176,163
1800,65,62
1803,210,189
1804,310,279
1796,473,468
1801,310,279
1799,,
1788,537,492
1782,546,500
1795,234,226
1802,305,274
1803,331,272
1805,298,268
1807,206,185
1787,273,250
1789,306,280
1791,345,316
1792,307,299
1798,396,363
1800,392,359
1802,279,251
1805,279,251
1805,,
1801,273,250
1803,203,186
1804,205,188
1805,207,190
1807,183,168
1783,,
1792,467,414
1793,416,412
1799,514,471
1802,347,312
1803,350,315
1805,369,332
1786,80,74
1791,130,121
1806,268,241
1808,310,279
1797,80,74
1790,332,304
1792,421,324
1794,175,160
1795,242,229
1796,238,236
1798,216,200
1800,221,205
1783,437,400
1784,437,400
1784,644,530
1787,415,380
1790,328,300
1798,397,394
1802,389,350
1803,382,343
1805,386,347
1807,350,315
1800,234,214
1801,310,279
1802,244,219
1803,273,250
1804,142,130
1805,273,250
1805,,
1800,359,328
1801,310,279
1802,268,241
1789,238,234
1790,389,356
1791,325,283
1794,330,328
1786,443,406
1781,754,691
1783,359,328
1784,573,525
1784,,
1785,493,450
1801,234,192
1787,,
1799,417,382
1800,359,328
1792,224,208
1793,245,212
1799,210,195
1799,,
1791,,
1797,217,200
1801,134,123
1802,154,141
1792,,
1781,359,328
1783,222,203
1799,322,295
1800,359,328
1781,119,93
1795,,
1799,,
1784,164,150
1793,242,215
1794,162,148
1795,,
1801,273,250
1797,,
1785,262,240
1787,448,410
1788,269,246
1789,335,307
1790,276,253
1791,273,269
1792,314,302
1793,359,328
1799,424,388
1800,277,254
1802,301,271
1803,266,239
1804,300,270
1794,,
1783,359,
1798,211,160
1800,85,81
1784,480,440
1785,461,422
1788,238,218
1790,300,278
1793,311,309
1794,,
1806,456,376
1807,403,362
1795,120,120
1791,69,64
1787,262,240
1788,359,328
1790,206,189
1791,218,218
1793,234,221
1794,216,216
1795,218,182
1798,481,441
1800,515,472
1801,363,326
1802,374,336
1803,375,337
1806,344,309
1807,310,279
1788,359,328
1805,310,260
1793,200,183
1786,150,134
1801,310,279
1802,200,180
1805,197,177
1808,177,159
1784,160,148
1785,320,274
1786,300,291
1788,175,161
1790,196,181
1790,,
1795,233,233
1787,260,255
1788,231,229
1789,227,208
1791,259,237
1792,213,195
1793,262,240
1795,359,328
1797,258,236
1800,230,211
1803,177,159
1805,310,279
1805,187,171
1806,273,250
1808,273,250
1803,312,280
1797,259,256
1803,82,68
1800,359,328
1784,674,611
1794,360,330
1793,277,253
1794,236,219
1787,112,98
1789,282,258
1795,301,299
1796,301,297
1797,389,389
1799,410,376
1800,407,373
1801,310,279
1802,310,279
1803,303,272
1805,310,279
1806,267,240
1807,267,240
1803,267,240
1784,359,328
1806,341,307
1807,377,339
1791,437,345
1793,339,203
1795,513,470
1806,496,370
1784,337,309
1785,477,437
1786,441,404
1787,,
1784,113,
1801,211,190
1802,211,190
1804,,
1798,413,378
1799,397,364
1800,293,268
1801,310,279
1802,122,104
1801,310,279
1802,358,322
1802,299,269
1796,401,399
1798,409,408
1799,425,389
1799,172,160
1783,272,245
1783,359,328
1782,380,
1805,200,180
1801,338,304
1802,321,289
1780,359,328
1802,435,391
1803,433,389
1804,265,238
1806,484,435
1807,348,313
1804,,
1805,,
1789,352,346
1791,264,260
1792,389,384
1794,397,394
1796,390,383
1797,409,404
1798,430,394
1800,442,405
1800,328,
1791,135,120
1793,359,328
1794,359,328
1796,262,240
1797,359,328
1796,374,368
1797,419,384
1798,413,378
1799,,
1803,237,213
1804,287,258
1805,286,257
1806,310,279
1807,287,258
1805,305,274
1806,427,384
1801,273,250
1803,273,250
1804,273,250
1807,201,184
1786,,
1800,,
1803,310,279
1800,445,408
1802,273,250
1803,,
1785,450,442
1799,178,139
1802,310,279
1803,366,329
1803,366,329
1804,,
1792,210,195
1794,157,146
1795,168,158
1799,,
1788,306,280
1783,210,195
1784,377,350
1785,253,232
1796,310,266
1791,104,87
1791,81,68
1787,8,7
1799,119,111
1787,375,344
1807,205,188
1789,359,328
1793,99,98
1807,273,
1806,189,173
1807,190,174
1803,154,138
1801,182,168
1789,373,365
1790,380,348
1791,358,352
1793,317,315
1795,373,364
1800,310,266
1797,410,375
1800,852,780
1803,212,191
1800,,
1797,301,283
1797,,
1782,600,550
1791,159,148
1792,130,148
1782,400,388
1783,499,457
1785,371,340
1793,362,353
1793,362,361
1794,393,360
1797,390,357
1799,359,328
1801,319,287
1802,310,279
1804,,
1806,,
1807,264,237
1791,280,295
1797,353,337
1798,379,347
1800,305,279
1801,247,222
1802,253,227
1803,310,279
1804,245,220
1804,,
1798,230,211
1801,242,218
1802,254,228
1803,222,200
1804,220,198
1791,359,328
1792,203,194
1793,262,240
1802,225,202
1803,232,209
1789,246,225
1791,229,224
1792,263,254
1793,275,255
1795,299,287
1796,,
1782,210,195
1784,205,190
1783,485,450
1785,377,350
1798,268,249
1800,251,233
1801,,
1781,113,105
1782,,
1801,434,390
1805,366,329
1806,436,392
1787,297,272
1784,323,300
1792,484,119
1793,167,167
1795,164,161
1797,139,129
1799,162,150
1788,95,88
1789,81,75
1806,183,160
1807,153,133
1800,330,302
1801,310,279
1787,212,210
1788,180,165
1790,250,229
1791,236,201
1792,275,252
1795,359,328
1785,415,380
1786,426,390
1787,442,405
1788,344,315
1791,370,252
1793,359,328
1795,372,366
1796,359,328
1797,359,
1788,437,400
1789,400,366
1791,512,509
1792,472,463
1793,518,509
1794,359,328
1802,218,196
1794,381,376
1795,383,362
1802,310,279
1805,179,154
1808,200,184
1804,310,279
1796,193,185
1797,179,164
1797,,
1788,602,447
1788,470,241
1785,583,573
1787,575,550
1788,546,388
1800,469,430
1801,310,279
1791,199,189
1792,196,157
1799,497,455
1800,341,312
1801,310,279
1803,310,279
1804,372,334
1805,142,128
1803,250,225
1804,310,279
1806,310,279
1807,348,313
1797,390,357
1798,365,335
1800,357,327
1801,310,279
1804,244,219
1788,214,197
1807,182,168
1792,389,389
1794,403,369
1796,359,328
1798,427,391
1799,403,369
1801,310,279
1802,195,175
1788,113,105
1790,70,65
1791,153,142
1790,300,194
1792,253,206
1792,359,328
1804,300,270
1806,299,269
1807,297,267
1784,797,730
1786,980,898
1788,568,520
1793,475,472
1794,505,500
1796,543,497
1797,495,473
1799,549,503
1800,359,328
1803,408,367
1788,360,330
1791,402,389
1792,400,346
1792,464,455
1798,443,406
1799,471,431
1801,245,220
1802,293,263
1805,337,303
1806,,
1804,311,280
1806,310,279
1807,310,279
1785,131,120
1785,,
1806,310,279
1808,209,188
1790,104,81
1784,561,514
1785,488,447
1787,510,500
1797,362,357
1799,380,348
1799,,
1801,258,232
1792,338,319
1792,321,287
1794,394,360
1796,361,353
1797,363,362
1798,379,347
1800,332,304
1801,310,279
1802,250,225
1804,458,412
1804,430,387
1806,432,388
1807,291,262
1784,339,291
1786,284,235
1804,179,156
1805,172,150
1806,,
1801,324,291
1803,310,279
1804,408,367
1805,412,370
1800,388,355
1783,,
1786,359,
1785,526,482
1799,379,347
1800,253,232
1801,310,279
1803,285,256
1804,283,254
1806,261,235
1807,239,215
1804,,
1790,240,242
1791,238,232
1792,239,238
1792,206,191
1793,238,231
1795,270,251
1795,210,195
1807,273,250
1784,546,500
1806,310,279
1793,126,125
1794,147,137
1796,113,105
1796,113,105
1798,,
1784,234,217
1785,395,250
1798,276,253
1795,113,105
1783,450,433
1784,320,280
1796,226,207
1807,439,395
1781,,
1798,,
1797,524,480
1801,310,279
1804,338,315
1800,419,384
1802,423,380
1782,291,270
1783,390,320
1784,362,336
1786,380,348
1788,328,300
1790,180,165
1792,282,233
1793,325,298
1792,61,61
1787,244,185
1789,158,120
1790,163,144
1791,159,145
1792,192,127
1784,121,112
1786,210,195
1786,,
1788,117,106
1788,210,
1799,449,411
1800,487,446
1800,201,184
1792,82,82
1792,359,
1783,359,328
1784,153,140
1786,250,234
1787,250,234
1788,240,235
1789,273,250
1789,313,287
1791,284,270
1792,278,243
1798,274,261
1799,322,295
1799,393,360
1801,230,207
1802,273,245
1803,270,243
1805,199,179
1805,230,207
1795,63,62
1793,163,149
1806,377,311
1797,210,195
1789,466,393
1787,109,100
1797,285,261
1798,291,267
1799,282,258
1798,614,562
1800,644,590
1802,437,393
1784,164,152
1785,188,174
1784,83,65
1788,450,412
1788,277,254
1790,287,263
1791,290,211
1793,325,315
1798,337,331
1799,354,324
1800,359,328
1793,124,115
1798,222,206
1807,331,272
1802,353,317
1796,,
1790,184,154
1790,81,68
1790,203,170
1791,157,157
1792,113,
1786,340,320
1788,325,298
1789,239,238
1791,250,240
1792,233,231
1794,255,234
1795,238,223
1796,359,328
1798,,
1796,147,140
1806,215,187
1798,370,356
1799,382,350
1800,359,329
1803,260,234
1804,310,279
1803,310,279
1805,415,342
1807,382,343
1804,206,185
1805,310,279
1808,204,183
1792,290,266
1806,277,249
1807,269,242
1798,229,210
1800,359,
1793,83,77
1789,25,25
1790,307,285
1792,254,254
1792,297,293
1799,287,263
1800,238,218
1801,,
1796,359,
1799,360,330
1797,421,386
1787,162,150
1789,274,254
1790,264,245
1792,289,261
1795,278,273
1796,280,272
1797,278,277
1799,262,240
1801,212,191
1784,356,326
1786,493,450
1787,575,525
1789,486,444
1789,660,605
1791,699,640
1792,484,443
1784,340,320
1791,323,296
1793,334,330
1786,639,516
1788,547,501
1790,314,288
1799,424,388
1784,448,425
1791,131,130
1792,137,132
1793,139,129
1796,115,110
1803,377,339
1795,,
1803,209,191
1803,273,250
1799,359,328
1798,,
1806,281,253
1807,310,279
1804,310,279
1783,663,607
1784,557,510
1787,500,484
1788,522,477
1790,369,338
1791,335,307
1793,364,263
1794,359,328
1794,,
1808,261,235
1792,275,273
1793,275,268
1794,296,271
1799,283,259
1800,284,260
1801,310,279
1789,410,113
1790,285,261
1791,269,259
1792,267,200
1793,289,272
1794,,
1805,106,90
1784,650,503
1786,731,670
1788,624,583
1791,541,536
1793,492,483
