Year of arrival at port of disembarkation,Total embarked,Total disembarked
1699,388,357
1699,118,105
1699,140,125
1699,400,358
1699,118,105
1699,118,105
1699,388,357
1699,381,331
1699,118,105
1699,118,105
1699,118,105
1700,118,105
1700,234,207
1700,244,209
1700,118,105
1701,118,105
1700,400,377
1700,484,433
1700,357,319
1700,415,355
1700,100,
1700,260,
1700,118,105
1701,118,105
1701,617,528
1704,386,351
1704,292,260
1704,118,105
1709,388,357
1714,406,356
1714,292,260
1714,464,407
1714,406,356
1715,406,356
1715,388,357
1715,500,439
1716,386,351
1716,444,396
1716,260,230
1716,700,607
1716,388,357
1716,465,403
1717,406,356
1717,465,403
1717,500,439
1718,465,403
1718,520,473
1719,465,403
1719,388,357
1719,406,356
1719,406,356
1719,386,351
1719,406,356
1720,406,356
1720,386,351
1720,292,260
1721,465,403
1721,244,209
1721,465,403
1721,118,105
1721,386,351
1721,244,209
1722,406,356
1722,465,403
1722,406,356
1722,118,105
1722,386,351
1802,530,473
1797,353,324
1805,390,353
1806,530,473
1806,530,473
1806,287,260
1824,530,473
1813,569,491
1817,390,353
1826,490,444
1841,257,242
1847,490,444
1847,490,444
1841,490,444
1812,239,217
1811,44,38
1811,130,115
1811,247,215
1811,130,118
1811,163,148
1721,388,357
1729,120,104
1733,169,150
1805,32,28
1806,213,186
1807,78,71
1807,111,101
1807,14,13
1808,239,217
1808,208,181
1808,176,96
1824,390,353
1782,258,230
1781,113,105
1782,354,324
1782,263,222
1782,353,324
1782,262,248
1782,113,105
1782,113,105
1800,207,192
1804,183,160
1804,183,160
1806,77,70
1782,353,324
1782,258,230
1782,353,324
1782,353,324
1782,353,324
1783,353,324
1783,353,324
1783,353,324
1784,258,230
1784,353,324
1784,353,324
1784,258,230
1801,345,301
1803,345,300
1819,390,353
1785,258,230
1784,353,324
1784,258,230
1784,258,230
1784,353,324
1785,258,230
1785,353,324
1786,353,324
1786,258,230
1786,353,324
1805,334,332
1724,273,236
1808,354,321
1808,553,531
1810,475,436
1813,390,353
1818,390,353
1818,530,473
1818,390,353
1816,239,217
1818,475,436
1821,390,353
1820,235,210
1801,310,279
1722,244,209
1723,443,392
1739,368,333
1739,486,440
1737,497,431
1736,475,412
1736,345,295
1737,392,335
1737,494,422
1737,375,339
1737,464,402
1737,586,508
1737,60,54
1724,137,124
1724,404,370
1724,359,315
1750,346,306
1724,612,537
1725,465,403
1751,329,308
1751,363,339
1751,197,184
1751,352,287
1742,113,98
1746,27,24
1747,331,283
1735,108,94
1735,752,643
1735,499,427
1736,1029,880
1736,309,264
1736,293,265
1736,351,318
1736,510,442
1736,819,710
1736,120,110
1736,432,369
1736,525,455
1736,343,310
1735,40,35
1735,587,502
1735,456,390
1725,6,5
1724,699,640
1514,224,166
1516,400,298
1535,359,287
1582,166,166
1652,,
1678,251,174
1678,251,174
1678,260,230
1678,244,209
1730,212,194
1730,118,105
1730,331,283
1730,212,194
1730,331,283
1730,465,403
1729,579,502
1729,499,446
1729,800,684
1729,12,10
1729,492,421
1729,636,551
1729,941,816
1730,504,431
1730,178,163
1730,118,105
1732,312,267
1731,114,104
1760,292,273
1760,311,278
1761,283,265
1773,493,461
1773,423,374
1773,395,369
1773,401,375
1773,491,459
1773,452,423
1774,484,453
1774,427,399
1774,351,311
1774,442,413
1774,399,373
1774,339,300
1774,333,311
1775,317,307
1775,354,331
1775,480,449
1775,270,252
1775,241,225
1776,409,375
1776,338,313
1776,442,405
1776,261,247
1776,335,307
1776,330,302
1776,498,462
1776,541,496
1776,543,497
1776,501,459
1776,428,392
1731,352,315
1778,425,389
1778,292,276
1778,493,451
1778,449,411
1778,318,291
1750,582,505
1751,457,411
1751,538,484
1752,329,308
1752,671,603
1751,148,131
1750,406,356
1750,358,317
1752,803,722
1752,120,106
1753,491,459
1754,507,456
1753,392,347
1755,318,281
1755,251,222
1754,329,308
1754,756,617
1754,217,203
1756,516,464
1767,416,389
1766,322,301
1765,212,188
1766,293,259
1753,329,308
1756,242,226
1752,276,248
1757,242,226
1781,331,319
1780,338,310
1779,352,333
1779,386,365
1779,402,368
1779,275,252
1779,472,432
1779,439,402
1779,378,346
1781,386,362
1781,427,365
1780,454,416
1780,352,289
1780,390,357
1781,355,300
1780,371,364
1779,474,434
1779,260,246
1780,270,247
1780,249,224
1779,319,292
1779,398,365
1779,407,373
1780,427,391
1780,390,357
1778,52,48
1777,353,324
1777,353,324
1777,353,324
1777,211,188
1778,212,194
1785,258,230
1785,353,324
1786,363,336
1729,278,238
1724,784,784
1810,530,473
1777,210,192
1780,503,461
1780,414,379
1780,255,234
1778,353,324
1780,358,328
1780,594,581
1780,441,406
1781,359,350
1781,678,608
1781,406,384
1781,382,350
1767,303,268
1768,275,243
1766,216,216
1761,289,256
1760,311,275
1760,21,20
1760,261,239
1760,312,276
1744,255,221
1743,487,436
1737,102,92
1737,212,194
1737,129,129
1733,349,303
1734,326,279
1732,446,399
1732,749,657
1735,441,399
1735,292,264
1732,215,197
1732,331,283
1733,688,599
1733,735,628
1733,442,378
1735,311,270
1733,536,458
1734,580,503
1733,393,351
1733,42,38
1732,335,297
1724,367,313
1724,367,313
1724,367,313
1724,118,105
1725,465,403
1726,106,92
1728,118,105
1731,92,83
1761,225,210
1756,462,432
1756,172,152
1756,378,353
1755,394,368
1754,71,63
1752,345,310
1753,581,522
1768,295,276
1768,537,502
1768,483,451
1774,355,332
1765,316,284
1766,279,261
1768,350,327
1768,253,224
1769,30,28
1770,212,194
1772,350,327
1774,500,450
1753,190,171
1753,50,45
1750,11,10
1779,310,286
1779,492,412
1819,273,250
1818,530,473
1846,490,444
1830,372,331
1845,490,444
1833,401,367
1822,390,353
1815,273,250
1818,273,250
1747,406,356
1732,266,231
1746,386,351
1811,390,353
1811,390,353
1811,390,353
1812,390,353
1811,183,160
1811,389,353
1811,390,353
1811,239,217
1812,390,353
1806,300,272
1805,381,340
1806,267,242
1676,408,356
1806,470,420
1806,514,421
1806,260,236
1806,390,353
1808,400,362
1806,316,264
1809,210,192
1810,373,304
1810,400,368
1812,533,436
1812,270,247
1812,242,219
1814,272,246
1815,450,412
1815,364,298
1815,270,247
1816,215,195
1816,430,390
1817,488,386
1819,495,336
1819,236,193
1820,216,193
1820,370,303
1816,57,51
1825,530,473
1826,307,277
1805,221,180
1823,390,353
1823,267,242
1823,390,353
1800,65,60
1707,406,356
1714,244,209
1718,386,351
1725,333,267
1725,212,194
1725,579,400
1726,331,283
1731,250,224
1731,129,129
1731,288,250
1731,595,516
1731,11,10
1732,184,166
1732,516,447
1732,474,405
1732,423,362
1732,118,105
1732,74,68
1732,167,151
1733,463,396
1733,402,360
1733,118,104
1734,675,577
1734,802,686
1735,444,385
1735,430,373
1738,892,773
1744,578,501
1686,244,209
1686,260,230
1697,118,105
1747,406,356
1747,406,356
1747,406,356
1747,406,356
1747,201,176
1747,406,356
1747,406,356
1749,554,480
1780,402,362
1780,356,326
1779,357,327
1775,253,224
1775,492,412
1749,572,496
1749,406,356
1749,406,356
1749,200,177
1750,376,326
1750,569,493
1751,85,75
1751,28,26
1752,329,308
1752,329,308
1752,525,472
1787,363,336
1750,406,356
1753,120,106
1753,329,308
1754,9,8
1754,329,308
1761,426,398
1786,258,230
1785,364,336
1780,363,336
1795,363,336
1772,297,277
1773,452,400
1784,353,324
1787,353,324
1786,353,324
1772,282,264
1840,490,444
1807,448,375
1840,490,444
1846,118,105
1826,257,242
1819,530,473
1819,530,473
1820,530,473
1793,492,450
1807,310,279
1821,530,473
1822,629,561
1794,271,251
1808,339,334
1845,490,444
1834,307,277
1809,390,353
1810,390,353
1810,184,167
1811,65,58
1811,390,353
1810,239,217
1810,82,74
1810,530,473
1810,475,436
1812,475,436
1815,464,420
1698,388,357
1793,340,314
1794,269,266
1787,156,200
1789,173,169
1791,120,235
1792,257,244
1794,286,280
1817,530,473
1818,485,439
1821,273,250
1787,245,226
1790,67,61
1792,217,199
1650,406,356
1650,244,209
1650,244,209
1650,244,209
1650,244,209
1650,244,209
1651,244,209
1652,244,209
1652,351,258
1653,406,356
1703,260,230
1716,367,313
1718,244,209
1786,353,324
1791,42,39
1792,191,176
1813,390,353
1819,239,217
1810,183,160
1817,239,217
1678,406,356
1678,406,356
1679,260,230
1680,406,356
1680,406,356
1683,118,105
1688,292,260
1804,464,447
1804,336,304
1805,177,174
1805,578,551
1793,273,250
1793,209,216
1817,530,473
1819,530,473
1816,390,353
1818,390,353
1816,530,473
1823,390,353
1809,530,473
1817,530,473
1817,530,473
1802,390,353
1816,530,473
1817,530,473
1812,530,473
1810,475,436
1811,475,436
1827,307,277
1824,390,353
1820,232,207
1823,390,353
1817,530,473
1822,299,271
1826,578,533
1823,390,353
1822,183,160
1818,390,353
1816,530,473
1818,530,473
1811,390,353
1821,390,353
1810,390,353
1825,530,473
1680,406,356
1680,244,209
1684,492,412
1684,244,209
1684,292,260
1684,260,230
1685,260,230
1686,292,260
1685,118,105
1685,118,105
1686,118,105
1687,118,105
1687,118,105
1687,260,230
1687,260,230
1687,260,230
1688,260,230
1688,260,230
1689,260,230
1689,260,230
1689,260,230
1689,260,230
1690,260,230
1691,260,230
1690,260,230
1690,118,105
1690,492,412
1691,118,105
1691,118,105
1691,260,230
1691,492,412
1691,492,412
1692,260,230
1692,118,105
1693,118,105
1693,118,105
1693,260,230
1693,260,230
1693,260,230
1693,118,105
1694,118,105
1694,118,105
1694,260,230
1694,118,105
1695,406,356
1695,260,230
1695,260,230
1695,260,230
1695,244,209
1695,260,230
1695,118,105
1695,118,105
1695,260,230
1695,260,230
1695,260,230
1695,406,356
1695,118,105
1695,292,260
1695,260,230
1696,118,105
1696,118,105
1696,260,230
1696,118,105
1696,260,230
1696,260,230
1696,118,105
1696,118,105
1696,260,230
1696,260,230
1696,118,105
1696,260,230
1696,260,230
1696,492,412
1696,118,105
1696,118,105
1696,260,230
1696,260,230
1696,260,230
1697,260,230
1697,118,105
1697,260,230
1697,406,356
1698,126,112
1697,260,230
1698,260,230
1697,260,230
1697,260,230
1697,118,105
1697,260,230
1697,260,230
1697,118,105
1697,118,105
1697,118,105
1697,260,230
1697,260,230
1697,260,230
1697,118,105
1698,406,356
1698,406,356
1698,406,356
1698,406,356
1698,118,105
1698,260,230
1698,118,105
1698,260,230
1698,260,230
1698,260,230
1698,492,412
1698,260,230
1699,260,230
1698,118,105
1698,260,230
1698,118,105
1698,118,105
1698,118,105
1698,118,105
1698,260,230
1698,118,105
1698,118,105
1698,260,230
1698,406,356
1699,260,230
1699,118,105
1699,260,230
1699,118,105
1699,260,230
1699,260,230
1699,118,105
1699,260,230
1699,260,230
1699,118,105
1699,260,230
1699,260,230
1699,118,105
1699,260,230
1699,260,230
1699,118,105
1699,260,230
1699,260,230
1699,118,105
1699,118,105
1700,118,105
1700,260,230
1700,260,230
1700,260,230
1700,260,230
1700,260,230
1700,118,105
1700,260,230
1700,260,230
1700,260,230
1700,357,319
1700,118,105
1700,118,105
1700,260,230
1700,260,230
1700,260,230
1700,260,230
1700,118,105
1700,118,105
1700,260,230
1700,260,230
1700,260,230
1700,260,230
1700,260,230
1700,118,105
1701,260,230
1701,260,230
1701,260,230
1701,260,230
1701,260,230
1701,118,105
1701,118,105
1701,118,105
1701,260,230
1701,260,230
1701,118,105
1701,260,230
1701,260,230
1701,260,230
1701,118,105
1701,118,105
1701,357,319
1701,260,230
1701,260,230
1701,260,230
1701,260,230
1702,260,230
1702,118,105
1702,260,230
1702,292,260
1702,260,230
1702,260,230
1702,260,230
1702,118,105
1702,118,105
1702,129,129
1702,260,230
1702,260,230
1702,492,412
1702,260,230
1702,260,230
1702,292,260
1702,260,230
1702,260,230
1702,260,230
1702,260,230
1702,260,230
1702,357,319
1703,244,209
1703,260,230
1703,260,230
1703,260,230
1703,260,230
1703,260,230
1703,260,230
1703,118,105
1703,492,412
1703,118,105
1703,260,230
1703,118,105
1703,260,230
1703,260,230
1703,118,105
1703,301,272
1703,260,230
1703,260,230
1703,406,356
1703,118,105
1703,260,230
1704,260,230
1704,118,105
1704,406,356
1704,292,260
1704,260,230
1704,118,105
1704,260,230
1704,260,230
1704,260,230
1704,260,230
1704,260,230
1704,260,230
1704,4,3
1704,260,230
1704,260,230
1704,301,272
1704,260,230
1704,260,230
1705,260,230
1705,260,230
1705,260,230
1705,118,105
1705,260,230
1706,118,105
1705,260,230
1705,492,412
1705,260,230
1705,260,230
1705,260,230
1705,260,230
1705,260,230
1706,260,230
1706,260,230
1705,244,209
1706,118,105
1705,118,105
1705,118,105
1706,118,105
1705,260,230
1705,357,319
1706,260,230
1706,260,230
1706,357,319
1706,301,272
1706,260,230
1706,118,105
1706,118,105
1706,118,105
1706,260,230
1707,118,105
1706,118,105
1707,118,105
1706,357,319
1707,118,105
1707,260,230
1707,260,230
1707,260,230
1707,260,230
1707,118,105
1707,260,230
1707,260,230
1707,118,105
1707,492,412
1707,129,129
1707,260,230
1707,260,230
1707,118,105
1708,260,230
1707,260,230
1707,118,105
1707,301,272
1707,260,230
1707,260,230
1707,118,105
1707,260,230
1707,260,230
1707,118,105
1707,260,230
1707,118,105
1707,118,105
1707,260,230
1707,118,105
1707,118,105
1708,118,105
1708,260,230
1708,118,105
1708,118,105
1708,260,230
1708,119,100
1708,119,100
1708,260,230
1708,118,105
1708,129,129
1708,260,230
1708,260,230
1708,357,319
1708,118,105
1708,260,230
1708,118,105
1708,260,230
1709,92,77
1708,260,230
1709,,
1709,260,230
1709,118,105
1709,260,230
1709,119,100
1709,119,100
1709,260,230
1709,260,230
1709,260,230
1709,260,230
1709,118,105
1709,292,260
1709,118,105
1709,118,105
1709,129,129
1709,118,105
1709,260,230
1709,129,129
1709,260,230
1709,118,105
1709,260,230
1709,292,260
1709,260,230
1709,260,230
1709,260,230
1710,260,230
1710,118,105
1710,260,230
1710,118,105
1710,260,230
1710,260,230
1710,260,230
1710,118,105
1710,260,230
1710,118,105
1710,260,230
1710,260,230
1710,260,230
1710,118,105
1710,260,230
1711,,
1710,260,230
1711,492,412
1710,260,230
1710,260,230
1710,118,105
1710,260,230
1711,260,230
1711,118,105
1711,260,230
1711,118,105
1711,260,230
1711,260,230
1711,260,230
1711,260,230
1711,260,230
1711,260,230
1711,492,412
1711,260,230
1711,119,100
1712,260,230
1711,118,105
1711,260,230
1711,118,105
1711,260,230
1711,118,105
1712,492,412
1711,260,230
1711,260,230
1711,260,230
1712,118,105
1712,260,230
1712,260,230
1712,260,230
1712,260,230
1712,260,230
1712,260,230
1712,301,272
1712,118,105
1712,118,105
1712,118,105
1712,292,260
1712,118,105
1712,118,105
1712,118,105
1712,260,230
1712,260,230
1712,260,230
1712,260,230
1712,260,230
1712,260,230
1712,260,230
1712,118,105
1713,260,230
1712,260,230
1713,118,105
1713,260,230
1712,260,230
1712,260,230
1712,118,105
1713,118,105
1713,118,105
1713,260,230
1713,118,105
1713,118,105
1713,492,412
1713,260,230
1713,260,230
1713,118,105
1713,118,105
1713,260,230
1713,260,230
1713,406,356
1713,260,230
1713,260,230
1713,260,230
1713,492,412
1713,260,230
1714,118,105
1713,260,230
1713,118,105
1713,212,194
1714,43,43
1713,118,105
1713,118,105
1713,260,230
1713,118,105
1713,212,194
1714,119,100
1714,37,33
1714,118,105
1714,118,105
1714,260,230
1714,118,105
1715,5,5
1714,260,230
1714,260,230
1714,44,40
1714,260,230
1714,260,230
1714,260,230
1715,,
1714,118,105
1714,118,105
1714,465,403
1714,301,272
1714,260,230
1715,119,100
1714,260,230
1715,357,319
1715,,
1714,118,105
1715,,
1714,118,105
1715,118,105
1715,,
1726,118,105
1726,465,403
1726,212,194
1727,465,403
1727,492,412
1725,492,412
1726,212,194
1726,406,356
1726,118,105
1726,212,194
1727,492,412
1727,118,105
1727,301,272
1727,465,403
1728,118,105
1728,450,377
1727,118,105
1727,465,403
1728,465,403
1728,118,105
1727,102,92
1727,102,92
1728,492,412
1727,406,356
1729,212,194
1728,465,403
1728,465,403
1728,118,105
1729,212,194
1729,492,412
1729,465,403
1729,102,92
1728,212,194
1729,118,105
1728,212,194
1729,465,403
1731,226,196
1729,212,194
1730,450,403
1729,212,194
1729,118,105
1731,111,98
1731,547,458
1730,465,403
1731,247,219
1730,465,403
1730,440,394
1730,547,492
1731,237,210
1730,314,272
1731,282,252
1731,75,65
1731,485,406
1731,236,211
1730,431,386
1731,492,412
1731,253,226
1731,406,363
1731,303,277
1732,351,314
1731,144,129
1732,649,555
1731,378,338
1731,453,405
1730,459,398
1730,102,92
1731,385,334
1730,465,403
1731,439,393
1731,331,283
1731,705,590
1731,118,105
1732,378,323
1732,451,404
1731,406,356
1731,331,283
1732,280,248
1732,429,384
1733,494,442
1732,25,23
1731,386,335
1733,347,311
1733,493,441
1733,549,476
1733,416,361
1734,439,375
1734,455,407
1733,579,518
1735,6,5
1734,962,834
1733,107,96
1734,535,479
1734,476,426
1734,47,43
1734,172,152
1733,118,105
1734,269,241
1735,276,250
1735,332,294
1734,373,334
1734,529,459
1734,79,71
1733,301,272
1735,477,399
1733,129,129
1735,345,312
1734,118,105
1735,511,437
1739,260,230
1740,465,403
1741,349,303
1740,465,403
1740,301,272
1742,334,290
1742,208,188
1741,297,269
1742,257,233
1740,465,403
1740,406,356
1740,465,403
1742,265,240
1742,279,242
1742,376,326
1742,379,339
1742,325,282
1741,465,403
1742,163,146
1742,171,155
1742,278,254
1742,565,473
1742,465,403
1742,465,403
1742,492,412
1742,465,403
1742,465,403
1743,263,235
1742,301,272
1743,301,272
1742,301,272
1742,118,105
1744,490,410
1742,465,403
1744,567,492
1743,452,392
1744,351,321
1744,636,551
1744,439,381
1744,547,474
1744,503,436
1744,504,437
1744,511,443
1744,430,373
1744,379,343
1744,683,572
1744,609,528
1744,288,250
1744,465,403
1745,532,461
1743,465,403
1743,211,188
1745,380,344
1745,565,490
1746,512,444
1746,364,329
1746,557,483
1745,484,420
1744,102,92
1746,391,339
1746,449,389
1746,507,440
1746,563,488
1746,312,279
1745,212,194
1747,325,294
1746,570,494
1747,549,476
1747,504,437
1746,212,194
1746,12,11
1747,351,321
1747,712,617
1747,465,403
1748,625,542
1747,443,401
1747,657,570
1748,615,533
1748,512,444
1748,827,717
1748,301,272
1747,211,188
1748,390,349
1748,481,417
1748,233,213
1748,166,152
1749,213,195
1748,210,188
1749,476,413
1749,467,405
1749,564,489
1748,540,468
1749,133,118
1749,354,320
1749,573,497
1749,634,550
1749,563,488
1748,212,194
1750,660,572
1750,463,401
1750,649,543
1750,714,619
1751,425,382
1749,212,194
1750,370,335
1749,465,403
1751,164,153
1751,115,102
1750,465,403
1751,526,473
1751,417,375
1750,102,92
1751,267,250
1751,426,383
1751,304,272
1751,172,154
1752,506,473
1750,465,403
1752,928,834
1752,533,479
1751,403,377
1753,439,410
1752,297,277
1753,627,564
1752,316,284
1753,554,498
1753,453,407
1753,524,471
1753,352,288
1752,316,284
1753,118,105
1753,492,412
1755,497,447
1755,581,522
1755,581,486
1755,540,528
1756,442,441
1755,288,287
1754,316,284
1755,352,288
1755,222,196
1755,316,284
1756,492,412
1756,299,269
1757,429,401
1756,316,284
1757,429,403
1756,232,209
1757,211,188
1757,330,309
1757,297,277
1757,316,284
1756,253,224
1757,297,277
1757,316,284
1756,211,188
1757,253,224
1757,492,412
1757,253,224
1758,253,224
1758,297,277
1758,253,224
1758,297,277
1758,297,277
1758,297,277
1758,253,224
1757,253,224
1757,297,277
1758,253,224
1758,253,224
1757,297,277
1758,297,277
1758,297,277
1759,380,376
1758,297,277
1759,216,191
1758,211,188
1758,253,224
1758,253,224
1760,225,199
1760,142,126
1758,253,224
1759,421,373
1759,286,253
1760,364,363
1759,159,141
1759,219,194
1758,253,224
1758,253,224
1760,281,249
1759,267,236
1760,349,309
1760,350,327
1759,297,277
1760,335,326
1759,253,224
1759,212,194
1761,458,420
1761,508,445
1760,366,342
1761,512,491
1760,268,268
1760,107,100
1759,297,277
1760,297,277
1761,448,401
1761,305,270
1760,253,224
1762,380,355
1760,253,224
1760,253,224
1761,420,393
1762,401,375
1762,300,266
1760,253,224
1761,335,307
1760,297,277
1761,297,277
1762,328,293
1761,219,194
1762,166,147
1761,297,277
1762,263,233
1762,282,264
1761,297,277
1761,253,224
1762,367,343
1762,300,266
1761,297,277
1762,253,224
1762,340,318
1763,409,382
1763,333,295
1763,258,228
1763,195,173
1763,169,150
1762,297,277
1763,308,275
1763,339,317
1763,407,381
1762,297,277
1764,218,193
1763,240,224
1764,344,322
1765,396,370
1764,341,305
1764,424,388
1763,253,224
1764,376,352
1763,253,224
1763,297,277
1764,289,270
1765,453,424
1764,502,469
1765,472,441
1765,352,329
1765,498,466
1765,375,351
1765,360,337
1766,350,327
1764,297,277
1765,253,252
1765,200,199
1766,306,305
1765,253,224
1765,294,302
1765,227,201
1766,242,226
1765,201,178
1766,286,276
1765,253,224
1766,311,291
1766,157,139
1766,110,97
1766,288,269
1766,406,380
1767,202,179
1766,289,258
1765,297,277
1766,253,224
1766,261,231
1767,362,338
1766,297,277
1767,253,224
1766,297,277
1767,297,277
1767,492,460
1767,342,320
1767,285,266
1766,297,277
1767,297,277
1768,335,313
1766,253,224
1768,348,325
1768,287,268
1766,297,277
1768,381,373
1769,363,345
1768,349,328
1768,231,216
1768,442,413
1767,329,308
1769,410,383
1769,297,277
1769,299,280
1768,297,277
1769,297,277
1769,297,277
1768,297,277
1769,383,358
1769,222,208
1769,253,224
1769,297,277
1769,297,277
1769,297,277
1770,418,391
1769,281,263
1769,297,277
1769,297,277
1769,297,277
1770,297,277
1770,297,277
1771,399,373
1770,297,277
1771,297,277
1770,253,224
1770,253,224
1770,297,277
1771,484,453
1770,253,224
1771,253,224
1771,211,188
1772,222,208
1771,287,268
1772,297,277
1772,162,143
1772,317,296
1773,229,214
1772,389,364
1772,292,273
1772,3,3
1772,303,283
1772,358,335
1772,234,219
1773,267,261
1773,334,312
1774,340,318
1771,297,277
1773,297,277
1772,297,277
1773,256,239
1773,241,225
1774,379,354
1774,327,306
1773,274,256
1774,255,238
1774,347,324
1775,416,389
1774,366,342
1774,4,4
1772,297,277
1774,381,356
1774,404,378
1774,451,422
1774,199,176
1775,298,279
1775,303,283
1775,302,282
1775,307,287
1775,360,337
1776,436,399
1775,358,335
1775,425,397
1775,91,85
1776,230,218
1775,297,277
1776,384,352
1776,374,343
1776,341,312
1776,19,17
1775,211,188
1777,117,111
1776,353,324
1776,258,230
1777,99,91
1776,258,230
1778,202,185
1778,355,325
1778,250,229
1777,353,324
1780,455,417
1778,243,223
1778,177,167
1777,353,324
1779,341,312
1778,271,251
1779,296,280
1779,260,238
1778,258,230
1779,212,201
1780,45,43
1778,258,230
1780,555,538
1778,353,324
1778,271,251
1778,353,324
1778,258,230
1778,353,324
1778,258,230
1780,287,263
1780,334,306
1780,193,187
1779,353,324
1780,575,527
1780,366,335
1780,428,392
1781,172,21
1780,,
1780,318,311
1780,258,230
1781,316,287
1780,353,324
1780,353,324
1781,377,357
1781,370,357
1781,171,156
1780,258,230
1781,310,296
1780,353,324
1780,258,230
1781,533,531
1780,353,324
1781,218,200
1782,620,568
1781,341,338
1781,353,324
1781,87,82
1781,353,324
1781,211,188
1781,335,329
1781,353,324
1781,220,216
1781,353,324
1781,385,374
1782,258,230
1781,353,324
1781,258,230
1781,353,324
1781,353,324
1784,353,324
1782,353,324
1781,356,337
1782,353,324
1782,353,324
1782,353,324
1782,353,324
1782,353,324
1782,353,324
1782,353,324
1782,353,324
1782,353,324
1782,271,251
1782,271,251
1783,353,324
1782,271,251
1783,300,
1782,258,230
1783,353,324
1783,353,324
1783,353,324
1784,353,324
1783,258,230
1784,353,324
1783,353,324
1784,353,324
1784,353,324
1784,353,324
1784,353,324
1784,353,324
1785,258,230
1784,353,324
1785,353,324
1784,353,324
1785,353,324
1785,258,230
1784,258,230
1785,353,324
1785,353,324
1785,271,251
1785,353,324
1785,353,324
1785,258,230
1786,353,324
1786,353,324
1785,258,230
1786,353,324
1786,258,230
1786,353,324
1786,258,230
1786,258,230
1786,353,324
1786,353,324
1786,353,324
1786,353,324
1786,353,324
1787,353,324
1786,258,230
1786,353,324
1814,390,353
1814,390,353
1812,390,353
1814,183,160
1664,301,272
1783,271,251
1793,440,402
1820,239,217
1783,136,129
1730,367,313
1730,406,356
1795,233,216
1783,331,305
1783,331,305
1719,367,313
1782,363,336
1781,331,305
1781,331,305
1780,353,324
1788,353,324
1788,258,230
1692,260,230
1691,292,260
1691,118,105
1691,260,230
1787,353,324
1787,171,157
1787,42,40
1778,331,305
1777,308,282
1776,113,105
1773,361,338
1772,329,308
1772,211,188
1820,251,230
1820,284,258
1820,381,349
1820,216,188
1820,76,70
1839,514,421
1753,119,82
1830,514,421
1832,514,421
1789,386,267
1808,514,421
1817,273,250
1822,390,353
1830,514,421
1817,475,436
1802,,
1840,490,444
1820,273,250
1840,490,444
1830,514,421
1830,514,421
1819,140,117
1819,365,334
1819,680,600
1820,450,412
1753,119,82
1650,330,264
1649,500,200
1649,325,259
1526,300,223
1534,359,287
1535,359,287
1532,359,287
1532,359,287
1534,359,287
1720,492,412
1596,183,130
1712,244,209
1712,244,209
1712,244,209
1712,244,209
1712,244,209
1845,411,369
1713,386,351
1713,386,351
1820,474,394
1820,231,203
1820,275,248
1820,193,169
1820,237,195
1853,300,275
1853,401,367
1863,1147,1031
1863,723,650
1861,691,621
1861,612,550
1858,561,465
1858,553,497
1854,91,77
1854,756,703
1854,655,589
1854,500,401
1853,561,465
1853,666,560
1853,445,400
1853,334,300
1853,141,134
1853,330,297
1853,667,600
1853,626,563
1853,640,630
1852,735,700
1852,536,482
1852,701,630
1851,536,482
1851,345,329
1851,536,482
1851,773,650
1851,856,720
1851,868,730
1844,411,369
1844,,
1844,284,270
1842,205,181
1841,459,413
1839,284,270
1838,475,436
1838,129,114
1836,282,250
1836,411,369
1835,690,563
1835,690,563
1832,284,270
1832,719,651
1831,284,270
1830,411,369
1723,244,209
1721,406,356
1717,406,356
1857,594,534
1857,32,29
1857,89,85
1849,979,800
1842,170,150
1864,601,477
1864,488,465
1851,447,400
1851,120,106
1854,723,650
1860,,
1814,220,210
1858,561,465
1858,350,318
1853,540,447
1840,501,450
1819,288,259
1823,284,251
1840,411,369
1843,411,369
1843,411,369
1842,411,369
1841,411,369
1812,310,279
1841,501,450
1841,485,436
1842,411,369
1836,1265,1004
1839,284,270
1839,411,369
1838,1265,1004
1717,406,356
1718,406,356
1712,406,356
1712,386,351
1712,406,356
1712,406,356
1773,259,242
1712,118,105
1722,465,403
1721,340,290
1721,244,209
1718,244,209
1752,253,224
1751,329,308
1750,465,403
1750,301,272
1748,406,356
1787,353,324
1806,390,353
1778,353,324
1742,492,412
1733,406,356
1732,196,174
1731,118,105
1728,500,434
1723,160,137
1722,212,194
1724,371,328
1724,120,110
1724,153,135
1724,388,357
1724,182,167
1724,272,243
1724,529,452
1724,461,394
1725,388,357
1724,247,226
1702,118,105
1806,390,353
1817,390,353
1820,333,305
1818,183,160
1818,183,160
1818,390,353
1715,260,230
1787,331,305
1762,159,141
1761,316,284
1785,208,190
1715,173,148
1714,386,351
1714,386,351
1713,386,351
1712,80,70
1820,239,217
1818,183,160
1819,183,160
1770,297,277
1770,297,277
1770,297,277
1808,390,353
1808,389,353
1813,390,353
1820,273,250
1813,390,353
1811,530,473
1821,273,250
1819,206,197
1815,119,100
1820,390,353
1816,162,153
1807,148,136
1807,390,320
1807,369,360
1784,258,230
1840,515,421
1839,490,444
1735,,
1848,,
1847,,
1847,,
1845,,
1842,,
1842,,
1842,,
1841,,
1815,390,353
1840,,
1841,,
1817,273,250
1817,119,100
1816,299,277
1817,239,217
1819,390,353
1820,390,353
1820,239,217
1821,273,250
1821,239,217
1822,273,250
1822,390,353
1823,143,130
1820,183,160
