Year of arrival at port of disembarkation,Total embarked,Total disembarked,Total died
1687,500,455,45
1687,541,417,124
1687,118,105,13
1687,118,105,13
1687,500,455,45
1687,84,64,20
1687,316,241,75
1687,95,80,15
1687,196,178,18
1687,175,164,11
1687,500,422,78
1687,243,195,48
1687,336,233,103
1687,235,163,72
1687,251,174,77
1687,258,228,30
1687,260,230,30
1687,260,230,30
1687,260,230,30
1687,260,230,30
1687,316,241,75
1687,110,80,30
1687,317,247,70
1687,388,295,93
1687,200,175,25
1687,524,477,47
1687,368,280,88
1687,324,281,43
1687,550,501,49
1687,281,240,41
1687,360,345,15
1687,525,443,82
1687,524,477,47
1687,525,399,126
1687,429,326,103
1687,173,130,43
1687,251,174,77
1687,250,221,29
1687,281,236,45
1687,375,369,6
1687,140,102,38
1687,524,454,70
1687,100,80,20
1687,464,353,111
1687,524,477,47
1687,260,180,80
1687,102,90,12
1687,467,394,73
1687,316,241,75
1687,316,241,75
1687,462,351,111
1687,333,253,80
1687,265,184,81
1687,197,137,60
1687,154,107,47
1687,473,410,63
1687,539,454,85
1687,363,311,52
1687,400,320,80
1688,292,260,32
1688,380,331,49
1688,260,230,30
1688,363,291,72
1688,233,206,27
1688,467,355,112
1688,679,589,90
1688,260,230,30
1688,316,241,75
1688,500,455,45
1688,260,230,30
1688,550,501,49
1688,500,422,78
1688,140,102,38
1688,474,417,57
1688,316,241,75
1688,150,130,20
1688,404,307,97
1688,260,230,30
1688,375,300,75
1688,243,195,48
1688,471,464,7
1688,250,200,50
1688,251,174,77
1688,316,241,75
1688,316,241,75
1688,316,241,75
1688,250,238,12
1688,303,287,16
1688,467,394,73
1688,243,195,48
1688,303,210,93
1688,467,394,73
1688,177,162,15
1688,575,437,138
1688,430,420,10
1688,244,209,35
1688,80,62,18
1688,482,406,76
1688,150,129,21
1688,252,202,50
1688,358,287,71
1688,293,203,90
1688,105,80,25
1688,243,195,48
1688,587,470,117
1688,243,195,48
1688,243,195,48
1688,316,247,69
1688,150,140,10
1688,120,95,25
1688,500,420,80
1688,173,146,27
1688,474,417,57
1688,481,414,67
1689,441,360,81
1689,159,130,29
1689,316,241,75
1689,208,175,33
1689,268,232,36
1689,251,174,77
1689,464,424,40
1689,308,252,56
1689,260,230,30
1689,415,322,93
1689,180,180,0
1689,415,259,156
1689,260,230,30
1689,240,187,53
1689,107,81,26
1689,260,230,30
1689,262,200,62
1689,289,220,69
1689,381,331,50
1689,292,260,32
1689,226,157,69
1689,251,174,77
1689,291,202,89
1689,500,474,26
1689,260,230,30
1689,260,230,30
1689,657,570,87
1689,260,230,30
1689,330,286,44
1689,481,414,67
1689,539,503,36
1689,188,143,45
1689,282,246,36
1689,500,500,0
1689,562,436,126
1689,300,253,47
1689,662,503,159
1689,150,129,21
1689,270,205,65
1689,323,280,43
1690,404,307,97
1690,492,412,80
1690,406,356,50
1690,260,230,30
1690,260,230,30
1690,406,356,50
1690,251,174,77
1690,400,359,41
1690,260,230,30
1690,596,477,119
1690,406,356,50
1690,400,313,87
1690,655,500,155
1690,216,150,66
1690,136,109,27
1690,381,331,50
1690,251,174,77
1690,319,249,70
1690,118,105,13
1690,118,105,13
1690,260,230,30
1690,118,105,13
1690,304,210,94
1690,467,394,73
1690,555,422,133
1690,243,195,48
1690,292,260,32
1691,120,93,27
1691,292,260,32
1691,260,230,30
1691,118,105,13
1691,118,105,13
1691,781,766,15
1691,400,195,205
1691,67,59,8
1691,197,150,47
1691,500,455,45
1691,500,455,45
1691,260,230,30
1691,600,520,80
1691,496,430,66
1691,118,104,14
1691,512,487,25
1691,118,105,13
1691,243,195,48
1691,260,230,30
1691,260,230,30
1691,373,299,74
1691,339,299,40
1691,260,230,30
1691,492,412,80
1691,598,460,138
1691,492,412,80
1691,210,169,41
1691,179,158,21
1691,74,65,9
1691,635,580,55
1691,261,209,52
1691,292,260,32
1691,243,195,48
1691,260,230,30
1691,160,155,5
1691,175,140,35
1691,555,477,78
1691,260,230,30
1691,174,150,24
1691,572,435,137
1691,91,80,11
1691,243,195,48
1691,260,230,30
1691,460,445,15
1691,499,469,30
1691,316,241,75
1691,260,230,30
1692,260,230,30
1692,530,472,58
1692,208,184,24
1692,400,305,95
1692,568,455,113
1692,373,299,74
1692,467,394,73
1692,624,500,124
1692,687,550,137
1692,624,500,124
1692,468,403,65
1692,260,230,30
1692,118,105,13
1692,260,230,30
1692,244,209,35
1692,260,230,30
1692,277,240,37
1692,406,356,50
1692,624,500,124
1692,497,419,78
1692,635,584,51
1692,169,145,24
1692,260,230,30
1692,118,105,13
1692,200,169,31
1692,400,305,95
1692,855,650,205
1692,406,356,50
1692,406,356,50
1692,406,356,50
1692,237,190,47
1692,133,121,12
1692,499,400,99
1692,300,250,50
1692,118,105,13
1692,461,400,61
1692,243,195,48
1692,346,240,106
1692,243,195,48
1692,244,209,35
1692,606,511,95
1693,181,155,26
1693,243,195,48
1693,243,195,48
1693,316,241,75
1693,168,131,37
1693,374,200,174
1693,243,195,48
1693,598,288,310
1693,381,331,50
1693,731,665,66
1693,525,453,72
1693,500,455,45
1693,500,422,78
1693,474,417,57
1693,260,230,30
1693,734,588,146
1693,468,403,65
1693,233,200,33
1693,413,314,99
1693,159,145,14
1693,251,174,77
1693,88,69,19
1693,687,550,137
1693,365,290,75
1693,386,309,77
