Year of arrival at port of disembarkation,Total embarked,Total disembarked,Percent men,Percent women,Percent children,Total died
1686,278,211,60.19,27.96,11.85,67
1686,180,125,54.65,45.35,0.0,55
1686,319,277,42.24,31.41,26.35,42
1686,400,246,52.65,36.28,11.06,154
1686,426,369,49.58,33.24,17.18,57
1686,492,374,50.42,36.7,12.88,118
1686,279,158,52.03,36.49,11.49,121
1686,201,153,60.0,34.54,5.46,48
1686,170,145,56.3,34.45,9.24,25
1686,121,84,34.52,35.71,29.76,37
1686,366,317,41.32,33.75,24.92,49
1686,120,43,43.24,51.35,5.4,77
1686,200,187,43.24,51.35,5.4,13
1687,110,80,84.54,15.46,0.0,30
1687,525,443,73.52,26.48,0.0,82
1687,429,326,51.13,33.66,15.21,103
1687,281,236,46.46,36.73,16.81,45
1687,375,369,56.51,27.88,15.61,6
1687,140,102,79.79,12.77,7.45,38
1687,524,454,35.04,34.38,30.58,70
1687,464,353,62.02,27.0,10.98,111
1688,380,331,41.09,42.9,16.01,49
1688,467,355,35.94,44.64,19.42,112
1688,250,238,52.91,34.92,12.17,12
1688,575,437,42.62,35.13,22.25,138
1688,430,420,41.19,44.52,14.29,10
1688,482,406,68.46,31.54,0.0,76
1688,150,140,75.0,17.86,7.14,10
1688,120,95,87.1,8.6,4.3,25
1689,415,259,38.67,55.47,5.86,156
1689,188,143,45.61,43.86,10.53,45
1689,282,246,86.26,12.64,1.1,36
1689,500,500,46.4,35.2,18.4,0
1689,562,436,50.0,36.62,13.38,126
1689,300,253,91.3,8.7,0.0,47
1689,662,503,50.4,35.66,13.94,159
1689,150,129,79.07,14.73,6.2,21
1690,400,359,61.0,28.13,10.86,41
1690,555,422,65.64,26.54,7.82,133
1691,118,104,85.71,14.29,0.0,14
1691,598,460,46.43,33.48,20.09,138
1691,635,580,56.65,28.84,14.51,55
1691,160,155,51.63,32.68,15.69,5
1691,174,150,72.79,24.49,2.72,24
1691,572,435,58.47,34.57,6.96,137
1691,460,445,68.02,31.03,0.95,15
1692,530,472,47.29,42.52,10.2,58
1692,208,184,66.3,30.98,2.72,24
1692,624,500,55.17,44.83,10.31,124
1692,635,584,55.23,28.99,15.78,51
1693,598,288,61.46,32.29,6.25,310
1693,413,314,58.92,31.85,9.24,99
1693,111,86,79.07,20.93,0.0,25
1693,421,401,64.09,23.94,11.97,20
1693,450,275,74.43,14.5,11.07,175
1693,738,729,59.46,26.63,13.92,9
1694,542,470,58.3,32.34,9.36,72
1694,600,486,49.59,32.44,17.97,114
1694,600,573,53.76,37.13,9.11,27
1694,446,357,37.26,33.61,29.13,89
1694,700,372,66.13,26.88,6.99,328
1694,650,195,48.72,42.05,9.23,455
1694,729,705,53.76,31.92,14.33,24
1694,484,452,61.28,26.55,12.17,32
1694,400,383,80.94,13.58,5.48,17
1695,111,110,53.7,40.74,5.56,1
1695,586,498,43.76,41.92,14.32,88
1695,202,178,78.65,17.98,3.37,24
1695,618,596,40.44,44.97,14.6,22
1695,200,196,78.65,17.98,3.37,4
1695,133,131,74.05,25.19,0.76,2
1696,605,502,46.65,46.23,7.11,103
1697,562,512,58.97,38.07,2.96,50
1697,616,430,58.73,33.26,8.02,186
1697,145,102,47.59,39.31,13.1,43
1698,506,280,29.54,48.48,26.43,226
1698,212,147,48.11,25.0,26.89,65
1698,733,624,67.39,29.47,3.14,109
1698,146,111,54.96,42.34,2.7,35
1698,360,345,43.98,45.78,10.24,15
1698,678,515,42.63,41.29,16.09,163
1698,151,151,62.91,33.11,3.97,0
1699,291,221,60.18,34.84,4.98,70
1699,548,531,63.83,32.19,3.98,17
1699,521,353,34.84,50.42,14.73,168
1699,167,127,33.07,42.52,24.41,40
1699,629,530,39.92,47.04,13.04,99
1699,573,500,46.52,51.02,2.46,73
1700,169,149,65.18,31.25,3.57,20
1700,600,466,44.12,50.29,5.59,134
1700,450,382,41.58,38.14,20.28,68
1700,191,149,38.36,38.36,23.29,42
1700,542,238,30.25,50.0,19.75,304
1700,552,492,52.09,43.18,4.74,60
1700,376,301,43.19,39.87,16.94,75
1700,606,376,36.84,46.2,16.96,230
1700,375,285,42.46,44.91,12.63,90
1700,52,46,48.89,51.11,0.0,6
1700,458,252,27.39,56.85,15.76,206
1700,224,200,45.99,42.78,11.23,24
1700,132,92,51.06,48.94,0.0,40
1701,221,191,37.17,43.98,18.85,30
1701,414,353,31.73,38.24,30.03,61
1701,224,204,39.8,23.88,36.32,20
1701,417,373,69.89,17.2,12.9,44
1701,674,642,47.03,22.55,30.42,32
1701,420,386,41.99,27.31,30.7,34
1701,499,430,55.71,32.87,11.42,69
1701,365,315,61.33,35.08,3.59,50
1701,690,671,47.12,22.33,30.55,19
1701,762,647,61.52,31.84,6.65,115
1701,664,459,53.86,33.33,12.8,205
1701,356,303,37.92,40.52,21.56,53
1701,75,57,32.5,45.0,22.5,18
1701,209,178,47.75,29.78,22.47,31
1702,350,300,67.89,19.27,12.84,50
1702,102,88,57.3,15.73,26.97,14
1702,254,216,49.58,34.58,15.83,38
1702,473,409,23.95,55.8,20.25,64
1702,549,468,39.23,37.19,23.58,81
1702,144,136,36.96,43.48,19.56,8
1702,292,222,47.3,38.29,14.41,70
1702,193,165,30.85,39.36,29.79,28
1702,289,191,37.17,43.98,18.85,98
1702,176,117,60.63,25.2,14.17,59
1702,247,211,61.29,29.03,9.68,36
1703,261,223,52.75,31.19,16.06,38
1703,228,208,20.98,45.37,34.62,20
1703,126,108,71.3,9.26,19.44,18
1703,178,163,57.06,42.33,0.61,15
1703,542,502,58.67,22.32,19.0,40
1703,161,161,83.23,9.32,7.45,0
1703,571,458,50.34,30.93,18.74,113
1703,325,281,41.67,50.69,7.64,44
1704,401,174,41.55,36.62,21.83,227
1704,349,295,42.27,43.3,14.43,54
1704,181,140,35.0,40.0,25.0,41
1704,510,466,61.22,22.44,16.34,44
1704,400,378,86.47,7.96,5.57,22
1704,382,321,62.85,26.21,10.94,61
1704,160,143,38.75,37.5,23.75,17
1704,100,81,97.5,1.25,1.25,19
1704,332,286,33.92,27.97,38.11,46
1704,300,273,61.03,31.25,7.72,27
1704,265,219,52.75,31.19,16.06,46
1704,366,224,63.39,30.36,6.25,142
1705,600,536,41.98,30.6,27.42,64
1705,304,238,51.68,28.57,19.75,66
1705,557,435,51.92,32.05,16.03,122
1705,590,539,41.48,37.88,20.64,51
1705,550,400,47.27,30.13,22.6,150
1705,180,176,50.29,22.54,27.17,4
1705,550,290,39.0,42.0,19.0,260
1705,615,556,61.82,21.42,16.76,59
1705,209,197,38.46,61.54,1.02,12
1705,188,166,39.76,43.37,16.87,22
1705,667,562,62.78,21.77,15.45,105
1705,771,667,57.46,22.96,19.58,104
1705,473,399,65.96,30.44,3.59,74
1705,548,421,49.88,40.38,9.74,127
1705,635,615,59.88,21.59,18.53,20
1705,348,284,44.64,45.36,10.0,64
1705,141,113,28.32,50.44,21.24,28
1706,330,285,29.47,35.79,34.74,45
1706,430,358,33.24,40.22,26.54,72
1706,547,394,56.67,32.18,11.15,153
1706,190,177,66.32,33.68,0.0,13
1706,198,176,29.65,37.79,32.56,22
1706,705,650,56.31,21.84,21.84,55
1706,210,180,35.26,41.04,23.7,30
1706,563,510,38.37,34.39,27.24,53
1706,140,126,40.32,34.68,25.0,14
1706,104,101,70.19,19.23,10.58,3
1707,534,507,58.7,31.3,10.0,27
1707,536,428,66.6,33.02,0.37,108
1707,536,457,61.31,22.4,16.29,79
1707,447,393,53.94,40.71,5.34,54
1707,78,75,62.5,25.0,12.5,3
1707,121,115,51.75,38.6,9.65,6
1707,222,199,68.37,17.86,13.78,23
1707,740,601,57.65,29.93,12.42,139
1707,558,439,67.38,32.08,0.54,119
1707,487,420,63.57,17.83,18.6,67
1707,202,165,50.76,23.48,27.41,37
1708,140,123,58.97,11.97,29.06,17
1708,531,500,64.89,16.81,18.3,31
1708,550,507,76.18,15.94,7.87,43
1708,120,110,70.91,25.46,3.64,10
1708,301,287,47.74,26.13,26.13,14
1708,300,283,47.86,33.93,18.21,17
1708,250,235,55.6,36.64,7.76,15
1708,180,145,64.14,23.45,12.41,35
1708,603,525,70.04,19.08,10.88,78
1708,64,51,62.74,25.49,11.76,13
1708,83,75,45.46,50.0,4.54,8
1708,260,212,65.57,14.15,20.28,48
1708,103,84,39.29,32.14,28.57,19
1708,613,463,68.19,31.16,0.65,150
1708,425,171,52.24,36.0,11.76,254
1709,523,464,61.85,35.13,3.02,59
1709,65,52,61.54,38.46,0.0,13
1709,491,435,48.39,33.18,18.43,56
1709,307,284,53.85,34.62,11.54,23
1709,398,187,75.82,12.09,12.09,211
1709,163,145,66.9,26.76,6.34,18
1709,56,48,43.59,35.9,20.51,8
1709,370,313,72.52,17.25,10.22,57
1710,433,374,52.1,35.98,11.92,59
1710,373,318,49.23,46.75,4.03,55
1710,139,83,74.44,24.06,1.5,56
1710,306,288,54.39,25.61,20.0,18
1710,300,251,39.44,35.06,25.5,49
1710,245,200,67.0,13.0,20.0,45
1711,200,161,60.36,24.32,15.32,39
1712,611,571,67.59,30.77,1.64,40
1712,219,200,69.43,13.99,16.58,19
1712,270,220,73.11,11.79,15.09,50
1712,585,476,65.58,33.22,1.2,109
